,Professor,A+,Semester (Ex: SP21),# of Students,Notes,@
MATH 2930,Berest,B,FA22,347,,
MATH 2940,Swartz,B+,FA21,370,,
MATH 2940,Lewis,B+,FA20,441,,
MATH 2940,  ,B+,FA20,412,👑,
MATH 2940,Swartz,B+,SP21,370,,
MATH 2940,Scheinberg,B+,SP22,452,,
MATH 2940,Schalekamp,B,SP23,606,,
MATH 3110,Harris,B+,SP21,67,,
MATH 3110,Saloff-Coste/Nadeau,B+,FA20,,,
MATH 3320,Zywina,B+,FA19,69,,
MATH 4280,Clark,B+,SP22,19,,
MATH 4710,Saloff-Coste,B+,SP22,64,dont take this class pls,
MSE 2060,Robinson,B+,FA20,24,,
MSE 3010,Benedek,B+,FA21,20,,
MUSIC 2101,Moseley,B+,FA18,27,,
NES 2522,C. Monroe,B+,FA20,58,,
NS 1150,Levitsky/Michael,B+,FA20,,,
NS 1150,Michael,B+,FA21,178,,
NS 3200,,B+,FA21,86,,
NTRES 3311,Wolf,B+,FA21,79,"Crosslisted with STS 3311, BSOC 3311, DSOC 3311",
ORIE 3150,Callister,B+,FA22,116,,
ORIE 3300,Lewis,B+,SP21,136,,
ORIE 3310,Schalekamp,B+,SP21,109,,
ORIE 3500,Gennedy,B+,SP21,116,,
ORIE 3510,Dai,B+,SP22,120,,
ORIE 4350,Schalekamp,B+,SP22,50,There's going to be a different professor from now on -- Schalekamp is not going to teach 4350 again,
PAM 2000,Tripp,B+,FA21,87,,
PAM 2100,Evans,B+,SP21,103,,
PAM 2300,Avery,B+,FA21,82,,
PAM 3120,,B+,FA21,22,,
PHIL 1100,Korzukhin,B+,FA21,59,"Horrible, do not take",
PHYS 1112,Fullbright,B,SP23,487,,
PHYS 1116,Shen,B+,FA20,87,,
PHYS 2207,Gruner (retired Fall 2019),B+,FA19,342,,
PHYS 2207,Mueller,B+,FA22,349,,
PHYS 2208,Liepe,B+,SP22,314,,
PHYS 2213,Kim,B+,FA22,477,,
PHYS 2213,Bazarov,B+,FA21,377,,
PHYS 2213,Bazarov,B+,FA20,429,,
PHYS 2213,Giambattista,B+,SP19,182,,
PHYS 2214,Case,B+,SP22,186,,
PHYS 2217,Xu,B+,SP22,45,,
PHYS 2217,Xu,B+,FA22,12,,
PHYS 3316,Arias,B+,SP20,27,,
PHYS 3316,,B+,FA19,29,gives A+s,
PHYS 3318,Maxson,,SP21,66,,
,Bauerle,B+,SP22,35,,
PSYCH 3250,Segal,A,SP23,230,crosslisted with HD 3700,
PSYCH 2800,Gilovich,B+,SP22,245,,
SOC 3010,Park,B+,FA22,37,,
SPAN 1210,Bevia (and others),B+,FA23,66,,
SPAN 2090,Lopez et. al.,B+,SP22,139,,
SPAN 2090,McAdams (and others),B+,SP21,118,,
SPAN 2090,"Amigo-Silvestre, Maldonado-Mendez",B+,FA22,113,,
SPAN 2095,"Amigo-Silvestre, Maldonado-Mendez",B+,FA19,54,,
SPAN 2095,Bevia  ,B+,FA22,47,,
STS 1123 (FWS: Seeing City Thru Cinema),Abbott,B+,SP21,17,,
STSCI 2100,Packard/Karns,B+,FA21,234,crosslisted with ILRST 2100,
STSCI 2150,Smith,B+,SP22,211,,
STSCI 2150,Smith,B+,SP23,,,
BME 4010,Butcher,B+,FA22,47,Final Exam is hard :( and midterm averages ~ 60%,
AEM 2210,Szpiro,B+,FA22,214,,
PHYS 2213,Giambattista,B+,SP22,182,,
MATH 1920,Delp,B+,FA22,478,,
NS 1150,Fiddler/Figueroa,B+,FA22,276,,
EAS 1540,Monger,B+,FA22,736,,
EAS 1330,Wysocki,B-,FA18,32,,
EAS 1600,Wysocki,B-,FA21,35,,
ENGRD 2020,Levine,A-,FA19,,,
ENGRD 2020,Ritz,B-,FA22,229,,
ENGRD 2020,Moridi,B-,SP21,88,crosslisted with MAE 2020,
NTRES 2320,Tantillo,B-,SP23,31,"take another core class for BSOC if you can, readings are a lot of work <- seconded. avoid this class. worst",
SOC 1101,Bischoff,A,FA21,273,,
SOC 1101,Schnabel,A,FA21,282,,
SOC 1190 (FWS),Dodderidge,B-,SP22,17,,
AEP 3200,Kusse,B,SP22,55,,
ANSC 4270,ANSC 4270,B,FA22,24,,
BIOAP 4140,Weiland/Linder,B,FA21,28,"Crosslisted with BIOMS 4140, BIONB 4140",
,Monger,B,FA21,891,,
BIOEE 1610,Howarth,B,FA22,282,"ta's make or break this class, multiple lecturers",
BIOG 1440,Buchon/Selvaraj/Shapleigh,B,SP21,280,,
BIOG 1440,"Soloway, Gilbert, Buchon",B,SP22,206,,
BIOG 1440,"Buchon, Selvaraj, Helmann",B,FA21,309,,
BIOMG 2800,Fox/Blake,B,SP22,98,,
BIOMG 2800,Goldberg/Lee/Richards,B,FA22,217,,
BME 2110,Lammerding,B,FA22,,,
CEE 3310,Cowen,B,FA17,70,,
CHEM 1560,Lorey,B,FA19,124,,
CHEM 1570,Kinsland,B,SP21,205,,
,,,,,,
CHEM 2070,Lee,B,SP23,741,lol,
CHEM 2080,DiStasio,B,SP22,720,,
CHEM 2080,DiStasio,B,SP23,665,,
CHEM 2090,Musser,B,SP23,456,,
CHEM 2090,Musser,B,FA22,456,"If you already have a few years of chem experience, an A is very possible. Otherwise, good luck. ",
CHEM 2090 , ,B,FA22,456,,
CHEM 3570,Coates/Lambert,B,FA22,678,🫠,
CHEM 3570,Ganem,B,FA20,543,,
CHEM 3580,Fors,B,SP23,454,,
